Path;Parameter;Type;Original;Aprox;Calculation;Name
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;55;Golomb;419430400;317177676;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;56;Golomb;419430400;317174303;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;57;Golomb;419430400;317171523;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;58;Golomb;419430400;317169286;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;59;Golomb;419430400;317192931;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;60;Golomb;419430400;317214279;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;61;Golomb;419430400;317233948;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;62;Golomb;419430400;317253585;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;63;Golomb;419430400;317273468;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;64;Golomb;419430400;317292307;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;65;Golomb;419430400;367250860;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;66;Golomb;419430400;367271572;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;67;Golomb;419430400;367292309;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;68;Golomb;419430400;367313262;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;69;Golomb;419430400;367336309;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;70;Golomb;419430400;367361984;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;71;Golomb;419430400;367390912;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;72;Golomb;419430400;367390885;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;73;Golomb;419430400;367390861;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;74;Golomb;419430400;367390841;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;75;Golomb;419430400;367390822;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;76;Golomb;419430400;367390805;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;77;Golomb;419430400;367390788;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;78;Golomb;419430400;367390771;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;79;Golomb;419430400;367390756;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;80;Golomb;419430400;367390741;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;81;Golomb;419430400;367390728;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;82;Golomb;419430400;367390716;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;83;Golomb;419430400;367390706;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;84;Golomb;419430400;367390696;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;85;Golomb;419430400;367390688;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;86;Golomb;419430400;367390681;;english
